GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
913828,19810103,198101,1981,1981.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEU,GERMANY,DEU,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,2,1,2,7.07395498392283,NA,NA,NA,NA,0,0,0,1,Algeria,AG,AG,28,3,0,1,Algeria,AG,AG,28,3,0,20130203,NA,1
914051,19810103,198101,1981,1981.0082,DEULEG,GERMAN,DEU,NA,NA,NA,NA,LEG,NA,NA,DEU,GERMAN,DEU,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,3,1,3,7.07395498392283,1,Algeria,AG,AG,28,3,0,1,Algeria,AG,AG,28,3,0,1,Algeria,AG,AG,28,3,0,20130203,NA,2
914218,19810103,198101,1981,1981.0082,IRN,IRANIAN,IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,181,18,4,-9,1,1,1,7.10607621009269,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,NA,NA,NA,NA,0,0,0,1,Algeria,AG,AG,28,3,0,20130203,NA,3
914387,19810103,198101,1981,1981.0082,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,GOV,GOVERNMENT,NA,NA,NA,NA,NA,GOV,NA,NA,1,192,192,19,4,-9.5,3,1,3,3.14465408805031,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,4
915335,19810104,198101,1981,1981.011,IRN,IRAN,IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,181,181,18,4,-9,1,1,1,6.70170827858081,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,NA,NA,NA,NA,0,0,0,1,Algeria,AG,AG,28,3,0,20130203,NA,5
919212,19810107,198101,1981,1981.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,1,1,1,4.08163265306122,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,6
919216,19810107,198101,1981,1981.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAR,MOROCCO,MAR,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,3,1,3,6,NA,NA,NA,NA,0,0,0,1,Morocco,MO,MO,32,-5,0,1,Morocco,MO,MO,32,-5,0,20130203,NA,7
919469,19810107,198101,1981,1981.0192,CIV,COTE D'IVOIRE,CIV,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,1721,172,17,4,-5,1,1,1,4.3010752688172,4,"Ndjamena, (CD04), Chad",CD,CD04,12.1085,15.0482,-1101785,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,8
919470,19810107,198101,1981,1981.0192,CIV,ABIDJAN,CIV,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,1721,172,17,4,-5,2,1,2,4.3010752688172,4,"Abidjan, Lagunes, Cote D'ivoire",IV,IV82,5.34111,-4.02806,-2115275,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,9
919471,19810107,198101,1981,1981.0192,CIV,ABIDJAN,CIV,NA,NA,NA,NA,NA,NA,NA,NGA,LAGOS,NGA,NA,NA,NA,NA,NA,NA,NA,1,1721,172,17,4,-5,1,1,1,4.3010752688172,4,"Ndjamena, (CD04), Chad",CD,CD04,12.1085,15.0482,-1101785,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,10
919472,19810107,198101,1981,1981.0192,CIV,ABIDJAN,CIV,NA,NA,NA,NA,NA,NA,NA,NGA,LAGOS,NGA,NA,NA,NA,NA,NA,NA,NA,1,1721,172,17,4,-5,4,1,4,4.3010752688172,4,"Abidjan, Lagunes, Cote D'ivoire",IV,IV82,5.34111,-4.02806,-2115275,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,11
919570,19810107,198101,1981,1981.0192,DEUMIL,GERMANY,DEU,NA,NA,NA,NA,MIL,NA,NA,FRA,FRENCH,FRA,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,2,1,2,4.08163265306122,1,Germany,GM,GM,51,9,0,4,"Paris, RhôAlpes, France",FR,FRB9,45.6333,5.73333,-1445327,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,12
919571,19810107,198101,1981,1981.0192,DEUMIL,GERMANY,DEU,NA,NA,NA,NA,MIL,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,1,1,1,4.08163265306122,1,Germany,GM,GM,51,9,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,13
919664,19810107,198101,1981,1981.0192,FRA,FRENCH,FRA,NA,NA,NA,NA,NA,NA,NA,DEUMIL,GERMANY,DEU,NA,NA,NA,NA,MIL,NA,NA,0,190,190,19,4,-10,2,1,2,4.08163265306122,4,"Paris, RhôAlpes, France",FR,FRB9,45.6333,5.73333,-1445327,1,Germany,GM,GM,51,9,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,14
919677,19810107,198101,1981,1981.0192,FRAGOV,FRANCE,FRA,NA,NA,NA,NA,GOV,NA,NA,FRA,FRANCE,FRA,NA,NA,NA,NA,NA,NA,NA,0,171,171,17,4,-9.2,1,1,1,3.93184796854522,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,15
920159,19810107,198101,1981,1981.0192,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,1,1,1,4.08163265306122,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,16
