GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
5682532,19870101,198701,1987,1987.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,1,1,1,3.26530612244898,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,1
5682533,19870101,198701,1987,1987.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,10,1,10,4.0961641200983,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,2
5682534,19870101,198701,1987,1987.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,195,195,19,4,-10,4,1,4,4.25531914893617,NA,NA,NA,NA,0,0,0,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,3
5682541,19870101,198701,1987,1987.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIL,GOVERNMENT FORCES,NA,NA,NA,NA,NA,MIL,NA,NA,1,190,190,19,4,-10,2,1,2,3.26530612244898,NA,NA,NA,NA,0,0,0,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,20130203,NA,4
5682937,19870101,198701,1987,1987.0027,GBR,UNITED KINGDOM,GBR,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,195,195,19,4,-10,5,1,5,4.25531914893617,4,"Upper Heyford, Oxfordshire, United Kingdom",UK,UKK2,51.9333,-1.26667,-2610541,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,5
5683354,19870101,198701,1987,1987.0027,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,20,1,11,4.0961641200983,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,6
5683361,19870101,198701,1987,1987.0027,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,TCD,CHAD,TCD,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,7,1,7,3.26530612244898,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,5,"Tibesti, Mintaqah Tibasti, Chad",CD,CD26,20.3333,16.6667,10739356,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,7
5683362,19870101,198701,1987,1987.0027,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,TCDMIL,CHADIAN,TCD,NA,NA,NA,NA,MIL,NA,NA,0,190,190,19,4,-10,5,1,5,4.18848167539267,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Ndjamena, (CD04), Chad",CD,CD04,12.1085,15.0482,-1101785,4,"Ndjamena, (CD04), Chad",CD,CD04,12.1085,15.0482,-1101785,20130203,NA,8
5683443,19870101,198701,1987,1987.0027,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,FRA,FRENCH,FRA,NA,NA,NA,NA,NA,NA,NA,0,192,192,19,4,-9.5,1,1,1,5.24475524475525,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,9
5683661,19870101,198701,1987,1987.0027,TCD,CHAD,TCD,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,3,1,3,3.26530612244898,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,20130203,NA,10
5683662,19870101,198701,1987,1987.0027,TCD,CHAD,TCD,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,1,1,1,3.26530612244898,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,11
5683663,19870101,198701,1987,1987.0027,TCD,CHAD,TCD,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,3,1,3,3.26530612244898,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,12
5683664,19870101,198701,1987,1987.0027,TCD,CHAD,TCD,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,1,1,1,3.26530612244898,4,"Zouar, Mintaqah Tibasti, Chad",CD,CD26,20.4583,16.5278,-1105854,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,5,"Tibesti, Mintaqah Tibasti, Chad",CD,CD26,20.3333,16.6667,10739356,20130203,NA,13
5683665,19870101,198701,1987,1987.0027,TCD,CHADIAN,TCD,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,4,1,4,4.18848167539267,4,"Ndjamena, (CD04), Chad",CD,CD04,12.1085,15.0482,-1101785,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,14
