GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
4761067,19860101,198601,1986,1986.0027,ITA,ROME,ITA,NA,NA,NA,NA,NA,NA,NA,GBR,BRITISH,GBR,NA,NA,NA,NA,NA,NA,NA,1,182,182,18,4,-9.5,7,1,7,4.35139573070608,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,1
4761259,19860101,198601,1986,1986.0027,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,1,1,1,5.45746388443018,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,2
4761260,19860101,198601,1986,1986.0027,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,1,1,1,5.45746388443018,1,United States,US,US,38,-97,0,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,3
4761261,19860101,198601,1986,1986.0027,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,195,195,19,4,-10,4,1,4,5.45746388443018,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,4
4761282,19860101,198601,1986,1986.0027,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,PSE,PALESTINE,PSE,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,2,1,2,5.45746388443018,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,5
4761512,19860101,198601,1986,1986.0027,PSE,WEST BANK,PSE,NA,NA,NA,NA,NA,NA,NA,GOV,GOVERNMENT,NA,NA,NA,NA,NA,GOV,NA,NA,0,173,173,17,4,-5,2,1,2,4.93333333333333,1,West Bank,WE,WE,31.6667,35.25,0,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,6
4761684,19860101,198601,1986,1986.0027,TUN,TUNIS,TUN,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,1711,171,17,4,-9.2,3,1,3,3.97219463753724,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,7
4761733,19860101,198601,1986,1986.0027,UAF,TERRORIST,NA,NA,NA,NA,NA,UAF,NA,NA,USA,UNITED STATES,USA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,1,1,1,3.25670498084291,1,Libya,LY,LY,25,17,0,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,1,Libya,LY,LY,25,17,0,20130203,NA,8
230751233,19860101,198601,1986,1986.0027,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,SENGOV,SENEGALESE,SEN,NA,NA,NA,NA,GOV,NA,NA,1,186,186,18,4,-10,10,1,10,3.1496062992126,1,Senegal,SG,SG,14,-14,0,1,Senegal,SG,SG,14,-14,0,1,Senegal,SG,SG,14,-14,0,20130206,NA,9
4762474,19860102,198601,1986,1986.0055,ESP,MADRID,ESP,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,193,193,19,4,-10,2,1,2,3.52941176470588,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,10
