GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
18435455,19970101,199701,1997,1997.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,4,1,4,3.84587047815516,NA,NA,NA,NA,0,0,0,4,"Misratah, Sha`biyat Misratah, Libya",LY,LY72,32.3754,15.0925,-3170751,4,"Misratah, Sha`biyat Misratah, Libya",LY,LY72,32.3754,15.0925,-3170751,20130203,NA,1
18435456,19970101,199701,1997,1997.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,3,1,3,2.95983086680761,NA,NA,NA,NA,0,0,0,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,2
18435583,19970101,199701,1997,1997.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAF,TERRORIST GROUP,NA,NA,NA,NA,NA,UAF,NA,NA,1,173,173,17,4,-5,2,1,2,1.06382978723404,NA,NA,NA,NA,0,0,0,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,4,"Medea, Méa, Algeria",AG,AG06,36.2642,2.75393,-477077,20130203,NA,3
18435626,19970101,199701,1997,1997.0027,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1821,182,18,4,-9,4,1,4,7.7634011090573,1,Liberia,LI,LI,6.5,-9.5,0,NA,NA,NA,NA,0,0,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,20130203,NA,4
18435627,19970101,199701,1997,1997.0027,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1821,182,18,4,-9,1,1,1,7.7634011090573,1,Somalia,SO,SO,10,49,0,NA,NA,NA,NA,0,0,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,20130203,NA,5
18435826,19970101,199701,1997,1997.0027,CAF,CENTRAL AFRICAN REPUBLIC,CAF,NA,NA,NA,NA,NA,NA,NA,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,0,190,190,19,4,-10,3,1,3,7.7634011090573,1,Liberia,LI,LI,6.5,-9.5,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,20130203,NA,6
18435827,19970101,199701,1997,1997.0027,CAF,CENTRAL AFRICAN REPUBLIC,CAF,NA,NA,NA,NA,NA,NA,NA,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,0,190,190,19,4,-10,1,1,1,7.7634011090573,1,Somalia,SO,SO,10,49,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,1,Sierra Leone,SL,SL,8.5,-11.5,0,20130203,NA,7
18436337,19970101,199701,1997,1997.0027,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,172,172,17,4,-5,3,1,3,6.86813186813187,1,Algeria,AG,AG,28,3,0,NA,NA,NA,NA,0,0,0,1,Algeria,AG,AG,28,3,0,20130203,NA,8
18436338,19970101,199701,1997,1997.0027,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,2,1,2,1.06382978723404,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,NA,NA,NA,NA,0,0,0,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,20130203,NA,9
18436340,19970101,199701,1997,1997.0027,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,DZAMED,ALGERIAN,DZA,NA,NA,NA,NA,MED,NA,NA,1,173,173,17,4,-5,3,1,3,1.06382978723404,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,4,"Tizi Ouzou, Tizi Ouzou, Algeria",AG,AG14,36.7118,4.04591,-490233,20130203,NA,10
