GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
6584106,19880102,198801,1988,1988.0055,NGA,NIGERIAN,NGA,NA,NA,NA,NA,NA,NA,NA,USA,INDIANA,USA,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,6,1,6,0.8,4,"Kwande, Nigeria (general), Nigeria",NI,NI00,8.7,9.3,-2016977,4,"Kwande, Nigeria (general), Nigeria",NI,NI00,8.7,9.3,-2016977,4,"Kwande, Nigeria (general), Nigeria",NI,NI00,8.7,9.3,-2016977,20130203,NA,1
6585248,19880103,198801,1988,1988.0082,GIN,GUINEAN,GIN,NA,NA,NA,NA,NA,NA,NA,GOV,GOVERNMENT,NA,NA,NA,NA,NA,GOV,NA,NA,0,173,173,17,4,-5,9,1,9,5.25139664804469,0,"Bissau, Bissau, Guinea-Bissau",PU,PU11,11.85,-15.5833,-1488412,0,"Bissau, Bissau, Guinea-Bissau",PU,PU11,11.85,-15.5833,-1488412,4,"Bissau, Bissau, Guinea-Bissau",PU,PU11,11.85,-15.5833,-1488412,20130203,NA,2
6586826,19880104,198801,1988,1988.011,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,LBYGOV,QADHAFI,LBY,NA,NA,NA,NA,GOV,NA,NA,1,193,193,19,4,-10,7,1,7,7.79220779220779,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,3
6587104,19880104,198801,1988,1988.011,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,GOV,GOVERNMENT OFFICIAL,NA,NA,NA,NA,NA,GOV,NA,NA,1,173,173,17,4,-5,5,1,5,0.938967136150235,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,20130203,NA,4
6588136,19880104,198801,1988,1988.011,LBY,LIBYAN,LBY,NA,NA,NA,NA,NA,NA,NA,EDU,STUDENT,NA,NA,NA,NA,NA,EDU,NA,NA,1,173,173,17,4,-5,3,1,3,5.06329113924051,1,Libya,LY,LY,25,17,0,1,United States,US,US,38,-97,0,1,Libya,LY,LY,25,17,0,20130203,NA,5
6588875,19880104,198801,1988,1988.011,UGA,UGANDA,UGA,NA,NA,NA,NA,NA,NA,NA,KEN,KENYA,KEN,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,1,1,1,5.06329113924051,1,Uganda,UG,UG,1,32,0,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,1,Libya,LY,LY,25,17,0,20130203,NA,6
6590873,19880105,198801,1988,1988.0137,MIL,ARMY OFFICER,NA,NA,NA,NA,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,9,1,9,3.50194552529183,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,NA,NA,NA,NA,0,0,0,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,20130203,NA,7
6590874,19880105,198801,1988,1988.0137,MIL,ARMY OFFICER,NA,NA,NA,NA,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,4,1,4,3.50194552529183,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,NA,NA,NA,NA,0,0,0,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,20130203,NA,8
6592067,19880106,198801,1988,1988.0164,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,GHA,GHANA,GHA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,6,1,6,2.08333333333333,4,"Addah, Ghana (general), Ghana",GH,GH00,5.77416,0.633767,-2068020,4,"Addah, Ghana (general), Ghana",GH,GH00,5.77416,0.633767,-2068020,4,"Addah, Ghana (general), Ghana",GH,GH00,5.77416,0.633767,-2068020,20130203,NA,9
6593970,19880106,198801,1988,1988.0164,PSE,PALESTINIAN,PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,193,193,19,4,-10,9,1,9,4.35967302452316,1,Morocco,MO,MO,32,-5,0,NA,NA,NA,NA,0,0,0,1,Morocco,MO,MO,32,-5,0,20130203,NA,10
