GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
8384771,19900101,199001,1990,1990.0027,AFG,AFGHAN,AFG,NA,NA,NA,NA,NA,NA,NA,AFGREB,AFGHANISTAN,AFG,NA,NA,NA,NA,REB,NA,NA,1,173,173,17,4,-5,2,1,2,1.53846153846154,4,"Harkat, Balochistan, Pakistan",PK,PK02,27.8421,66.5767,6046164,1,Mali,ML,ML,17,-4,0,1,Mali,ML,ML,17,-4,0,20130203,NA,1
8385271,19900101,199001,1990,1990.0027,GOVMIL,MILITARY GOVERNMENT,NA,NA,NA,NA,NA,GOV,MIL,NA,NGA,NIGERIA,NGA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,9,1,9,6.47482014388489,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,20130203,NA,2
8385533,19900101,199001,1990,1990.0027,MLI,MALI,MLI,NA,NA,NA,NA,NA,NA,NA,AFG,AFGHAN,AFG,NA,NA,NA,NA,NA,NA,NA,0,193,193,19,4,-10,2,1,2,1.53846153846154,1,Mali,ML,ML,17,-4,0,4,"Khost, Khowst, Afghanistan",AF,AF37,33.3395,69.9204,-3380945,1,Mali,ML,ML,17,-4,0,20130203,NA,3
8385534,19900101,199001,1990,1990.0027,MLI,MALI,MLI,NA,NA,NA,NA,NA,NA,NA,AFGMIL,AFGHAN,AFG,NA,NA,NA,NA,MIL,NA,NA,0,193,193,19,4,-10,5,1,5,1.53846153846154,1,Mali,ML,ML,17,-4,0,4,"Khost, Khowst, Afghanistan",AF,AF37,33.3395,69.9204,-3380945,1,Mali,ML,ML,17,-4,0,20130203,NA,4
8385544,19900101,199001,1990,1990.0027,NGA,NIGERIA,NGA,NA,NA,NA,NA,NA,NA,NA,GOVMIL,MILITARY GOVERNMENT,NA,NA,NA,NA,NA,GOV,MIL,NA,1,190,190,19,4,-10,9,1,9,6.47482014388489,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,20130203,NA,5
8388405,19900103,199001,1990,1990.0082,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,2,1,2,2.7027027027027,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,20130203,NA,6
8388406,19900103,199001,1990,1990.0082,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,7,1,7,2.7027027027027,1,Cote D'ivoire,IV,IV,8,-5,0,1,Cote D'ivoire,IV,IV,8,-5,0,1,Cote D'ivoire,IV,IV,8,-5,0,20130203,NA,7
8388407,19900103,199001,1990,1990.0082,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,6,1,6,2.7027027027027,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,20130203,NA,8
8388408,19900103,199001,1990,1990.0082,AFR,AFRICA,AFR,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,1,1,1,2.7027027027027,1,Cote D'ivoire,IV,IV,8,-5,0,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,-2134223,5,"Nimba County, Nimba, Liberia",LI,LI09,6.75,-8.75,NA,20130203,NA,9
8388580,19900103,199001,1990,1990.0082,CIV,COTE D'IVOIRE,CIV,NA,NA,NA,NA,NA,NA,NA,GOV,GOVERNMENT,NA,NA,NA,NA,NA,GOV,NA,NA,1,1723,172,17,4,-5,1,1,1,3.55029585798817,1,Cote D'ivoire,IV,IV,8,-5,0,4,"Nimba, Nimba, Liberia",LI,LI09,7.48889,-8.57083,-2132286,1,Cote D'ivoire,IV,IV,8,-5,0,20130203,NA,10
