GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
1551900,19820101,198201,1982,1982.0027,CVLGOV,CIVILIAN,NA,NA,NA,NA,NA,CVL,GOV,NA,GHA,ACCRA,GHA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,9,1,9,4.57697642163662,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,1
1551958,19820101,198201,1982,1982.0027,GBR,BRITISH,GBR,NA,NA,NA,NA,NA,NA,NA,GHAELIGOV,HILLA LIMANN,GHA,NA,NA,NA,NA,ELI,GOV,NA,1,180,180,18,4,-9,4,1,4,4.57697642163662,1,United Kingdom,UK,UK,54,-2,0,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,2
1551959,19820101,198201,1982,1982.0027,GBR,UNITED KINGDOM,GBR,NA,NA,NA,NA,NA,NA,NA,GHAMIL,GHANA,GHA,NA,NA,NA,NA,MIL,NA,NA,1,193,193,19,4,-10,3,1,3,3.84615384615385,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,20130203,NA,3
1551968,19820101,198201,1982,1982.0027,GBR,BRITAIN,GBR,NA,NA,NA,NA,NA,NA,NA,MMR,BURMA,MMR,NA,NA,NA,NA,NA,NA,NA,1,193,193,19,4,-10,3,1,3,3.84615384615385,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,20130203,NA,4
1551972,19820101,198201,1982,1982.0027,GBRMED,BRITISH,GBR,NA,NA,NA,NA,MED,NA,NA,GHAELIGOV,HILLA LIMANN,GHA,NA,NA,NA,NA,ELI,GOV,NA,1,180,180,18,4,-9,5,1,5,4.57697642163662,1,United Kingdom,UK,UK,54,-2,0,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,5
1552102,19820101,198201,1982,1982.0027,GOVMIL,MILITARY GOVERNMENT,NA,NA,NA,NA,NA,GOV,MIL,NA,GHA,GHANA,GHA,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,4,1,4,4.96551724137931,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,6
1552309,19820101,198201,1982,1982.0027,MIL,MILITARY,NA,NA,NA,NA,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1723,172,17,4,-5,2,1,2,4.24028268551237,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,NA,NA,NA,NA,0,0,0,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,7
1552311,19820101,198201,1982,1982.0027,MIL,MILITARY,NA,NA,NA,NA,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,191,191,19,4,-9.5,5,1,5,4.24028268551237,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,NA,NA,NA,NA,0,0,0,4,"Accra, Greater Accra, Ghana",GH,GH01,5.55,-0.216667,-2067935,20130203,NA,8
1552371,19820101,198201,1982,1982.0027,OPP,DISSIDENT,NA,NA,NA,NA,NA,OPP,NA,NA,GHAELIGOV,HILLA LIMANN,GHA,NA,NA,NA,NA,ELI,GOV,NA,0,190,190,19,4,-10,5,1,5,3.84615384615385,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,20130203,NA,9
1552372,19820101,198201,1982,1982.0027,OPP,DISSIDENT,NA,NA,NA,NA,NA,OPP,NA,NA,GHAELIGOV,HILLA LIMANN,GHA,NA,NA,NA,NA,ELI,GOV,NA,0,190,190,19,4,-10,4,1,4,3.84615384615385,1,United Kingdom,UK,UK,54,-2,0,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,4,"Burma Camp, Ghana (general), Ghana",GH,GH00,5.58524,-0.15539,-2071649,20130203,NA,10
