GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
7527630,19890102,198901,1989,1989.0055,BEN,BENIN,BEN,NA,NA,NA,NA,NA,NA,NA,COP,PRISON,NA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,1,1,1,2.76729559748428,1,Benin,BN,BN,9.5,2.25,0,4,"Nanking, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,1,Benin,BN,BN,9.5,2.25,0,20130203,NA,1
7527631,19890102,198901,1989,1989.0055,BEN,BENIN,BEN,NA,NA,NA,NA,NA,NA,NA,COP,PRISON,NA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,1,1,1,2.76729559748428,1,Benin,BN,BN,9.5,2.25,0,1,Benin,BN,BN,9.5,2.25,0,1,Benin,BN,BN,9.5,2.25,0,20130203,NA,2
7527633,19890102,198901,1989,1989.0055,BENEDU,BENIN,BEN,NA,NA,NA,NA,EDU,NA,NA,COP,PRISON,NA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,3,1,3,2.76729559748428,1,Benin,BN,BN,9.5,2.25,0,4,"Nanking, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,1,Benin,BN,BN,9.5,2.25,0,20130203,NA,3
7527634,19890102,198901,1989,1989.0055,BENGOV,BENIN,BEN,NA,NA,NA,NA,GOV,NA,NA,COP,PRISON,NA,NA,NA,NA,NA,COP,NA,NA,0,173,173,17,4,-5,2,1,2,2.76729559748428,0,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,1,Benin,BN,BN,9.5,2.25,0,1,Benin,BN,BN,9.5,2.25,0,20130203,NA,4
7527714,19890102,198901,1989,1989.0055,CHN,CHINESE,CHN,NA,NA,NA,NA,NA,NA,NA,afa,AFRICANS,NA,NA,afa,NA,NA,NA,NA,NA,1,190,190,19,4,-10,2,1,2,2.76729559748428,4,"Nanking, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,4,"Nanking, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,1,Benin,BN,BN,9.5,2.25,0,20130203,NA,5
7527715,19890102,198901,1989,1989.0055,CHNCOP,NANJING,CHN,NA,NA,NA,NA,COP,NA,NA,EDULAB,UNIVERSITY,NA,NA,NA,NA,NA,EDU,LAB,NA,0,173,173,17,4,-5,2,1,2,3.18091451292246,4,"Nanjing, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,1,Ghana,GH,GH,8,-2,0,1,Ghana,GH,GH,8,-2,0,20130203,NA,6
7527716,19890102,198901,1989,1989.0055,CHNCOP,NANJING,CHN,NA,NA,NA,NA,COP,NA,NA,GHA,GHANA,GHA,NA,NA,NA,NA,NA,NA,NA,0,173,173,17,4,-5,6,1,6,3.18091451292246,4,"Nanjing, Jiangsu, China",CH,CH04,32.0617,118.778,-1919548,1,Ghana,GH,GH,8,-2,0,1,Ghana,GH,GH,8,-2,0,20130203,NA,7
7528076,19890102,198901,1989,1989.0055,GOV,GOVERNMENT,NA,NA,NA,NA,NA,GOV,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,172,172,17,4,-5,5,1,5,5.08130081300813,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,8
7528117,19890102,198901,1989,1989.0055,GRC,GREECE,GRC,NA,NA,NA,NA,NA,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,173,173,17,4,-5,2,1,2,4.14993306559572,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,9
7528306,19890102,198901,1989,1989.0055,ITAGOV,ITALY,ITA,NA,NA,NA,NA,GOV,NA,NA,LBY,LIBYA,LBY,NA,NA,NA,NA,NA,NA,NA,0,172,172,17,4,-5,4,1,4,5.08130081300813,4,"Rome, Lazio, Italy",IT,IT07,41.9,12.4833,-126693,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,10
