GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
791,19790102,197901,1979,1979.0055,COP,DEPUTIES,NA,NA,NA,NA,NA,COP,NA,NA,NGA,NIGERIA,NGA,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,4,1,4,2.34375,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,1
795,19790102,197901,1979,1979.0055,COP,DEPUTIES,NA,NA,NA,NA,NA,COP,NA,NA,USACOP,GREENSBORO,USA,NA,NA,NA,NA,COP,NA,NA,1,173,173,17,4,-5,5,1,5,2.34375,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,2
2365,19790103,197901,1979,1979.0082,UAF,FIGHTER,NA,NA,NA,NA,NA,UAF,NA,NA,MAR,MOROCCAN,MAR,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,10,1,10,1.63934426229508,1,Morocco,MO,MO,32,-5,0,1,Morocco,MO,MO,32,-5,0,1,Morocco,MO,MO,32,-5,0,20130203,NA,3
2619,19790104,197901,1979,1979.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARMIL,MOROCCO,MAR,NA,NA,NA,NA,MIL,NA,NA,1,190,190,19,4,-10,2,1,2,5.40540540540541,NA,NA,NA,NA,0,0,0,1,Morocco,MO,MO,32,-5,0,1,Morocco,MO,MO,32,-5,0,20130203,NA,4
7585,19790109,197901,1979,1979.0247,GOV,AUTHORITIES,NA,NA,NA,NA,NA,GOV,NA,NA,NGAELI,NIGERIAN,NGA,NA,NA,NA,NA,ELI,NA,NA,1,173,173,17,4,-5,5,1,5,2.34375,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,5
7586,19790109,197901,1979,1979.0247,GOV,AUTHORITIES,NA,NA,NA,NA,NA,GOV,NA,NA,NGAGOV,NIGERIA,NGA,NA,NA,NA,NA,GOV,NA,NA,1,173,173,17,4,-5,2,1,2,2.34375,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,6
7587,19790109,197901,1979,1979.0247,GOV,AUTHORITIES,NA,NA,NA,NA,NA,GOV,NA,NA,NGAGOV,NIGERIA,NGA,NA,NA,NA,NA,GOV,NA,NA,1,173,173,17,4,-5,2,1,2,2.34375,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,7
11765,19790113,197901,1979,1979.0356,FRA,FRANCE,FRA,NA,NA,NA,NA,NA,NA,NA,IRN,IRANIAN,IRN,NA,NA,NA,NA,NA,NA,NA,1,1712,171,17,4,-9.2,1,1,1,5.32710280373832,4,"Paris, RhôAlpes, France",FR,FRB9,45.6333,5.73333,-1445327,1,Libya,LY,LY,25,17,0,1,Libya,LY,LY,25,17,0,20130203,NA,8
12089,19790113,197901,1979,1979.0356,SYR,SYRIAN,SYR,NA,NA,NA,NA,NA,NA,NA,YEM,SANA,YEM,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,2,1,2,4.8780487804878,1,Syria,SY,SY,35,38,0,1,Syria,SY,SY,35,38,0,1,Algeria,AG,AG,28,3,0,20130203,NA,9
12383,19790114,197901,1979,1979.0384,CHRUAF,CHRISTIAN,NA,NA,NA,CHR,NA,UAF,NA,NA,NGA,NIGERIAN,NGA,NA,NA,NA,NA,NA,NA,NA,1,190,190,19,4,-10,5,1,5,1.93548387096774,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,1,Nigeria,NI,NI,10,8,0,20130203,NA,10
