GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
14066324,19950101,199501,1995,1995.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,2,1,2,1.82291666666667,NA,NA,NA,NA,0,0,0,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,20130203,NA,1
14067252,19950101,199501,1995,1995.0027,MIL,CAPTAIN,NA,NA,NA,NA,NA,MIL,NA,NA,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,0,193,193,19,4,-10,2,1,2,1.82291666666667,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,20130203,NA,2
14067300,19950101,199501,1995,1995.0027,MOSUAF,MUSLIM,NA,NA,NA,MOS,NA,UAF,NA,NA,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,1,193,193,19,4,-10,4,1,4,1.82291666666667,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,4,"Algiers, Alger, Algeria",AG,AG01,36.7631,3.05056,-458371,20130203,NA,3
14067587,19950101,199501,1995,1995.0027,RUS,RUSSIA,RUS,NA,NA,NA,NA,NA,NA,NA,che,CHECHEN,NA,NA,che,NA,NA,NA,NA,NA,1,190,190,19,4,-10,1,1,1,8,4,"Chechen, Dagestan, Russia",RS,RS17,43.9611,47.6427,-2896478,4,"Chechen, Dagestan, Russia",RS,RS17,43.9611,47.6427,-2896478,1,Sierra Leone,SL,SL,8.5,-11.5,0,20130203,NA,4
14067793,19950101,199501,1995,1995.0027,USA,THE US,USA,NA,NA,NA,NA,NA,NA,NA,NGA,NIGERIAN,NGA,NA,NA,NA,NA,NA,NA,NA,1,174,174,17,4,-5,6,1,6,1.61290322580645,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,6.45306,3.39583,-2017355,20130203,NA,5
232684113,19950101,199501,1995,1995.0027,SEN,DAKAR,SEN,NA,NA,NA,NA,NA,NA,NA,ESP,SPAIN,ESP,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,2,1,2,0,4,"Granada, AndalucíSP, Spain",SP,SP51,37.1784,-3.5992,-384328,4,"Granada, AndalucíSP, Spain",SP,SP51,37.1784,-3.5992,-384328,4,"Dakar, Dakar, Senegal",SG,SG01,14.7367,-17.6339,-2266494,20130206,NA,6
14068867,19950102,199501,1995,1995.0055,GIN,CONAKRY,GIN,NA,NA,NA,NA,NA,NA,NA,OPP,PRISONER,NA,NA,NA,NA,NA,OPP,NA,NA,1,190,190,19,4,-10,9,1,9,3.1413612565445,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,4,"Conakry, Capitale d'Etat-Zone Speciale de Conakry, Guinea",GV,GV04,9.50917,-13.7122,-1178387,20130203,NA,7
14069729,19950102,199501,1995,1995.0055,LBR,LIBERIA,LBR,NA,NA,NA,NA,NA,NA,NA,LBRREB,ULIMO,LBR,NA,NA,NA,NA,REB,NA,NA,1,190,190,19,4,-10,4,1,4,5.55555555555556,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,20130203,NA,8
14069737,19950102,199501,1995,1995.0055,LBRREBSEP,ULIMO,LBR,NA,NA,NA,NA,REB,SEP,NA,LBRREB,ULIMO,LBR,NA,NA,NA,NA,REB,NA,NA,1,190,190,19,4,-10,2,1,2,5.55555555555556,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,4,"Bong, Bong, Liberia",LI,LI01,6.80167,-10.3528,-2130612,20130203,NA,9
14069970,19950102,199501,1995,1995.0055,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,REB,REBEL,NA,NA,NA,NA,NA,REB,NA,NA,1,190,190,19,4,-10,9,1,9,2.7681660899654,4,"Kenema, Eastern, Sierra Leone",SL,SL01,7.87667,-11.1875,-1317126,4,"Kenema, Eastern, Sierra Leone",SL,SL01,7.87667,-11.1875,-1317126,4,"Kenema, Eastern, Sierra Leone",SL,SL01,7.87667,-11.1875,-1317126,20130203,NA,10
