GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,row_id
11409291,19930101,199301,1993,1993.0027,DZA,ALGERIA,DZA,NA,NA,NA,NA,NA,NA,NA,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,1,173,173,17,4,-5,6,1,6,2.61780104712042,4,"Bechar, Béar, Algeria",AG,AG38,31.6167,-2.21667,-460331,4,"Bechar, Béar, Algeria",AG,AG38,31.6167,-2.21667,-460331,4,"Bechar, Béar, Algeria",AG,AG38,31.6167,-2.21667,-460331,20130203,NA,1
11410169,19930101,199301,1993,1993.0027,MIL,ARMY,NA,NA,NA,NA,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,4,1,4,2.61780104712042,4,"Bechar, Béar, Algeria",AG,AG38,31.6167,-2.21667,-460331,NA,NA,NA,NA,0,0,0,4,"Bechar, Béar, Algeria",AG,AG38,31.6167,-2.21667,-460331,20130203,NA,2
11410624,19930101,199301,1993,1993.0027,SLE,SIERRA LEONE,SLE,NA,NA,NA,NA,NA,NA,NA,LBR,LIBERIA,LBR,NA,NA,NA,NA,NA,NA,NA,1,173,173,17,4,-5,10,1,10,2.53807106598985,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,4,"Freetown, Western Area, Sierra Leone",SL,SL04,8.49,-13.2342,-1315606,20130203,NA,3
11410956,19930101,199301,1993,1993.0027,USA,THE US,USA,NA,NA,NA,NA,NA,NA,NA,SOM,MOGADISHU,SOM,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,2,1,2,4.85611510791367,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,4
11410957,19930101,199301,1993,1993.0027,USA,THE US,USA,NA,NA,NA,NA,NA,NA,NA,SOM,SOMALIA,SOM,NA,NA,NA,NA,NA,NA,NA,1,180,180,18,4,-9,1,1,1,4.85611510791367,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,4,"Mogadishu, Banaadir, Somalia",SO,SO02,2.06667,45.3667,-3227437,4,"Tripoli, Tarabulus, Libya",LY,LY61,32.8925,13.18,-3178767,20130203,NA,5
11411064,19930102,199301,1993,1993.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,10,1,10,2.47933884297521,NA,NA,NA,NA,0,0,0,4,"Ksar El Hirane, Laghouat, Algeria",AG,AG25,33.7915,3.14482,-474588,4,"Ksar El Hirane, Laghouat, Algeria",AG,AG25,33.7915,3.14482,-474588,20130203,NA,6
11411149,19930102,199301,1993,1993.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OPP,POLITICAL PRISONER,NA,NA,NA,NA,NA,OPP,NA,NA,1,173,173,17,4,-5,9,1,9,8.64661654135338,NA,NA,NA,NA,0,0,0,4,"Bamenda, Nord-Ouest, Cameroon",CM,CM07,5.95265,10.1582,-3145955,4,"Bamenda, Nord-Ouest, Cameroon",CM,CM07,5.95265,10.1582,-3145955,20130203,NA,7
11413161,19930103,199301,1993,1993.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,6,1,6,2.30414746543779,NA,NA,NA,NA,0,0,0,4,"Laghouat, Laghouat, Algeria",AG,AG25,33.8,2.86514,-474716,4,"Laghouat, Laghouat, Algeria",AG,AG25,33.8,2.86514,-474716,20130203,NA,8
11413162,19930103,199301,1993,1993.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,2,1,2,2.30414746543779,NA,NA,NA,NA,0,0,0,4,"Laghouat, Laghouat, Algeria",AG,AG25,33.8,2.86514,-474716,1,Morocco,MO,MO,32,-5,0,20130203,NA,9
11413164,19930103,199301,1993,1993.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COP,POLICE,NA,NA,NA,NA,NA,COP,NA,NA,1,190,190,19,4,-10,2,1,2,2.30414746543779,NA,NA,NA,NA,0,0,0,1,Morocco,MO,MO,32,-5,0,1,Morocco,MO,MO,32,-5,0,20130203,NA,10
